headline,link,date,snippet,keyword
"Torture, state terrorism and Ethiopia's transformation | Abiy Ahmed ...",https://www.aljazeera.com/opinions/2018/6/23/torture-state-terrorism-and-ethiopias-transformation,23 Jun 2018,"Jun 23, 2018 ... Ethiopian Prime Minister Abiy Ahmed acknowledged torture by state security forces in a speech at the Ethiopian Parliament on June 18.",Terrorism
HRW: Terrorism charges against Morales 'politically motivated' | Evo ...,https://www.aljazeera.com/news/2020/9/11/hrw-terrorism-charges-against-morales-politically-motivated,Last update 23 Nov 2020,"Sep 11, 2020 ... The charges were traced to a single phone call with his former lawyer and chief of staff, during which Morales allegedly encouraged protests and ...",Terrorism
Israel's violence is open terrorism — stop calling it 'clashes' | Israel ...,https://www.aljazeera.com/opinions/2023/4/7/israels-violence-is-open-terrorism-stop-calling-it,Last update 7 Apr 2023,"Apr 7, 2023 ... The state of Israel is committing unchecked barbarism against Palestinians and the Western corporate media has decided it all comes down to “clashes”.",Terrorism
Ethiopia PM: Security agencies committed 'terrorist acts' | Human ...,https://www.aljazeera.com/news/2018/6/19/ethiopia-pm-security-agencies-committed-terrorist-acts,19 Jun 2018,"Jun 19, 2018 ... Ethiopia PM: Security agencies committed 'terrorist acts'. Abiy Ahmed said security institutions tortured citizens in order for government to ...",Terrorism
'Terrorism': Israel-Hamas conflict has gone 'beyond war' says Pope ...,https://www.aljazeera.com/news/2023/11/22/terrorism-israel-hamas-conflict-has-gone-beyond-war-says-pope-francis,Last update 22 Nov 2023,"Nov 22, 2023 ... 'Terrorism': Israel-Hamas conflict has gone 'beyond war' says Pope Francis ... The violence unleashed by the state of Israel and Hamas fighters ...",Terrorism
HRW: Saudi terrorism is killing people in Yemen | GCC News | Al ...,https://www.aljazeera.com/news/2017/7/24/hrw-saudi-terrorism-is-killing-people-in-yemen,24 Jul 2017,"Jul 24, 2017 ... Speakers at conference in Doha question Saudi-led group's accusation that Qatar is funding terrorism.",Terrorism
What is terrorism? | Opinions | Al Jazeera,https://www.aljazeera.com/opinions/2013/4/17/what-is-terrorism,17 Apr 2013,"Apr 17, 2013 ... Terrorism is a crime meant to terrorise. We know what these kinds of crimes are: they are the kind that make us afraid to send our children to school, like ...",Terrorism
Tanzanian opposition leader to face 'terrorism' charges: Party | News ...,https://www.aljazeera.com/news/2021/7/22/tanzanian-opposition-leader-to-face-terrorism-charges-party,22 Jul 2021,"Jul 22, 2021 ... Tanzanian opposition leader to face 'terrorism' charges: Party. Chadema chairman Freeman Mbowe and 15 other members were rounded up in a ...",Terrorism
Crackdown as HK security chief warns of growing 'terrorism' | Hong ...,https://www.aljazeera.com/news/2020/5/25/crackdown-as-hk-security-chief-warns-of-growing-terrorism,Last update 25 May 2020,"May 25, 2020 ... Hong Kong's security chief on Monday warned “terrorism” was growing in the city as the local government rallied behind Beijing's plan to impose ...",Terrorism
'Hotel Rwanda' hero given 25-year sentence in 'terrorism' case ...,https://www.aljazeera.com/news/2021/9/20/rwanda-court-finds-hotel-rwanda-hero-guilty-in-terrorism-case,Last update 20 Sep 2021,"Sep 20, 2021 ... Paul Rusesabagina – a one-time hotel manager portrayed as a hero in a Hollywood film about the nation's 1994 genocide – was found guilty of ...",Terrorism
The dawning of hydro-terrorism | ISIL/ISIS | Al Jazeera,https://www.aljazeera.com/opinions/2015/6/19/the-dawning-of-hydro-terrorism,19 Jun 2015,"Jun 19, 2015 ... The role of water in conflict in the Middle East has existed since time immemorial, but ISIL has used it to such an effect that it deserves ...",Terrorism
Detained Istanbul Mayor Imamoglu denies 'terrorism' charges ...,https://www.aljazeera.com/news/2025/3/22/detained-istanbul-mayor-imamoglu-denies-terrorism-charges-report,Last update 23 Mar 2025,"Mar 22, 2025 ... Detained Istanbul Mayor Imamoglu denies 'terrorism' charges. Opposition leader detained on Wednesday for alleged corruption and terrorism.",Terrorism
Pakistan's Imran Khan gets bail from anti-terrorism court | Imran ...,https://www.aljazeera.com/news/2023/5/23/pakistans-imran-khan-gets-bail-from-anti-terrorism-court,23 May 2023,"May 23, 2023 ... Pakistan's Imran Khan gets bail from anti-terrorism court. The former prime minister has been granted bail until June 8 in eight cases related ...",Terrorism
Indigenous resistance is the new 'terrorism' | Environment | Al Jazeera,https://www.aljazeera.com/opinions/2011/7/10/indigenous-resistance-is-the-new-terrorism,10 Jul 2011,"Jul 10, 2011 ... In Ecuador, “terrorists” are indigenous peoples from the Amazon and the Andean highlands fighting to preserve access to water in their communities.",Terrorism
US labels Iran's elite Revolutionary Guard Corps a 'terror group ...,https://www.aljazeera.com/news/2019/4/8/us-labels-irans-elite-revolutionary-guard-corps-a-terror-group,8 Apr 2019,"Apr 8, 2019 ... Iran responded to the US move by calling US forces in the region 'terrorist groups', Iranian state TV reported.",Terrorism
Russia: Alexey Navalny faces 'terrorism' charges; 30 years' jail ...,https://www.aljazeera.com/news/2022/10/20/russian-opposition-figure-alexei-navalny-says-faces-new-charges,20 Oct 2022,"Oct 20, 2022 ... Jailed opposition politician Alexey Navalny said Russian authorities filed new charges against him for promoting “terrorism and extremism”, potentially leading ...",Terrorism
Israeli parliament bill criminalises 'consumption of terrorist materials ...,https://www.aljazeera.com/news/2023/11/8/knesset-introduces-consumption-of-terrorist-publication-as-offense,8 Nov 2023,"Nov 8, 2023 ... Israel's parliament has passed an amendment to the country's counterterrorism law that introduces the “consumption of terrorist materials” as a ...",Terrorism
Terrorism: For Muslim crimes only? | Opinions | Al Jazeera,https://www.aljazeera.com/opinions/2015/7/2/terrorism-for-muslim-crimes-only,Last update 2 Jul 2015,"Jul 2, 2015 ... This provides yet more evidence that the term “terrorism” was exclusively utilised for Muslims and Muslims only. I have already demonstrated how ...",Terrorism
Egypt adopts controversial anti-terrorism law | Human Rights News ...,https://www.aljazeera.com/news/2015/8/17/egypt-adopts-controversial-anti-terrorism-law,17 Aug 2015,"Aug 17, 2015 ... The controversial law, published in the government's official gazette on Sunday, sets a minimum fine of 200,000 pounds (about $25,000) and a ...",Terrorism
Jordan anti-terrorism law sparks concern | News | Al Jazeera,https://www.aljazeera.com/news/2014/4/25/jordan-anti-terrorism-law-sparks-concern,25 Apr 2014,"Apr 25, 2014 ... Critics are warning that changes to Jordan's anti-terrorism law, including a broadened definition of terrorism and strengthened punishments, could be used by ...",Terrorism
Trump administration labels Cuba as 'state sponsor of terrorism ...,https://www.aljazeera.com/news/2021/1/11/us-designates-cuba-as-state-sponsor-of-terrorism,Last update 12 Jan 2021,"Jan 11, 2021 ... The United States has designated Cuba as a “state sponsor of terrorism”, US Secretary of State Mike Pompeo announced, the latest move in the ...",Terrorism
Mangione charged with 'act of terrorism' in UnitedHealthcare CEO ...,https://www.aljazeera.com/news/2024/12/17/mangione-charged-with-act-of-terrorism-in-unitedhealthcare-ceo-killing,Last update 17 Dec 2024,"Dec 17, 2024 ... Luigi Mangione, the 26-year-old accused of fatally shooting United Healthcare CEO Brian Thompson in New York earlier this month, has been ...",Terrorism
Pakistan court convicts Mumbai 'mastermind' in terrorism case ...,https://www.aljazeera.com/news/2020/2/12/pakistan-court-convicts-mumbai-mastermind-in-terrorism-case,12 Feb 2020,"Feb 12, 2020 ... A Pakistani anti-terrorism court has sentenced Hafiz Muhammad Saeed, the founder of the Lashkar-e-Taiba armed group, to five and a half years' prison.",Terrorism
ICJ rejects most of Ukraine's 'terrorism' case against Russia | Russia ...,https://www.aljazeera.com/news/2024/1/31/icj-rejects-most-of-ukraines-terrorism-case-against-russia,31 Jan 2024,"Jan 31, 2024 ... The International Court of Justice (ICJ) has rejected much of a case filed by Ukraine that accused Russia of funding separatist rebels in ...",Terrorism
Why aren't we calling the Pittsburgh shooting 'terrorism'? | Gun ...,https://www.aljazeera.com/opinions/2018/10/29/why-arent-we-calling-the-pittsburgh-shooting-terrorism,29 Oct 2018,"Oct 29, 2018 ... Perhaps the path to end terrorism begins with abandoning it as a term we selectively deploy and actively distort.",Terrorism
Refugees or hijackers? Teenagers charged with terrorism in Malta ...,https://www.aljazeera.com/news/2019/12/16/refugees-or-hijackers-teenagers-charged-with-terrorism-in-malta,Last update 16 Dec 2019,"Dec 16, 2019 ... EIther the ship was hijacked, and the three teenagers accused are guilty, or the crew fraudulently portrayed the situation in order to get ...",Terrorism
Syrian troops make gains as Putin defends air strikes | Vladimir ...,https://www.aljazeera.com/news/2015/10/12/syrian-troops-make-gains-as-putin-defends-air-strikes,12 Oct 2015,"Oct 12, 2015 ... He also called on other countries to “unite efforts against this evil [terrorism]”. ... Above all, it is to not let a terrorist caliphate take ...",Terrorism
Malaysia shuts down Saudi-backed anti-terrorism centre | News | Al ...,https://www.aljazeera.com/news/2018/8/7/malaysia-shuts-down-saudi-backed-anti-terrorism-centre,Last update 7 Aug 2018,"Aug 7, 2018 ... The King Salman Center for International Peace (KSCIP) in Kuala Lumpur will cease operations immediately and its functions will be absorbed by ...",Terrorism
"'Terrorism threat has moved' from Afghanistan, says top US envoy ...",https://www.aljazeera.com/news/2021/4/19/terrorism-threat-has-moved-from-afghanistan-says-top-us-envoy,19 Apr 2021,"Apr 19, 2021 ... Blinken defends decision to withdraw from Afghanistan, saying Washington needed to focus on China and the pandemic.",Terrorism
FBI probing Trump rally shooting as 'domestic terrorism' as RNC ...,https://www.aljazeera.com/news/2024/7/15/fbi-probing-trump-shooting-as-domestic-terrorism-as-rnc-opens,Last update 15 Jul 2024,"Jul 15, 2024 ... The Federal Bureau of Investigation (FBI) is continuing to scour over evidence in the attack on former United States President Donald Trump, ...",Terrorism
'Psychological terrorism': The war against reproductive rights in the ...,https://www.aljazeera.com/program/upfront/2025/4/18/psychological-terrorism-the-war-against-reproductive-rights-in-the-us,18 Apr 2025,"Apr 18, 2025 ... 'Psychological terrorism': The war against reproductive rights in the US. Redi Tlhabi speaks with Professor Michele Goodwin about the current ...",Terrorism
